Security Code,Security Id,SECURITY_NAME,Status,Group,Face Value,ISIN No,Industry,Instrument
533022,20MICRONS,20 MICRONS LTD,Active,B ,5,INE144J01027,Mining,Equity
532628,3IINFOTECH,3I INFOTECH LTD,Active,B ,10,INE748C01020,IT Consulting & Software,Equity
523395,3MINDIA,3M INDIA LTD,Active,A ,10,INE470A01017,Diversified,Equity
516092,3PLAND,3P LAND HOLDINGS LTD,Active,B ,2,INE105C01023,Paper & Paper Products,Equity
540776,5PAISA,5PAISA CAPITAL LTD,Active,T ,10,INE618L01018,Other Financial Services,Equity
526881,63MOONS,63 MOONS TECHNOLOGIES LTD,Active,B ,2,INE111B01023,IT Consulting & Software,Equity
540615,7NR,7NR RETAIL LTD,Active,B ,10,INE413X01019,Specialty Retail,Equity
540874,7SEASL,7SEAS ENTERTAINMENT LTD,Suspended,Z ,10,INE454F01010,Movies & Entertainment,Equity
590116,7SEAS,7SEAS TECHNOLOGIES LTD-$,Suspended,X ,10,INF454F01010,IT Software Products,Equity
512161,8KMILES,8K MILES SOFTWARE SERVICES LTD,Active,T ,5,INE650K01021,Internet Software & Services,Equity
540697,AMFL,A & M FEBCON LTD,Active,B ,10,INE319X01018,Industrial Machinery,Equity
516078,JUMBO,JUMBO BAG LTD,Active,Z ,10,INE699D01015,Containers & Packaging,Equity
539620,AINFRA,A INFRASTRUCTURE LTD,Active,XT,5,INE534E01020,Cement & Cement Products,Equity
539300,AKSPINTEX,A K SPINTEX LTD,Active,X ,10,INE671K01019,Textiles,Equity
540135,ARCFIN,A R C FINANCE LTD,Active,X ,10,INE202R01018,Other Financial Services,Equity
530499,AKCAPIT,A.K.CAPITAL SERVICES LTD,Active,X ,10,INE701G01012,Finance (including NBFCs),Equity
542012,AAL,A-1 ACID LTD,Active,M ,10,INE911Z01017,CommTrading  & Distribution,Equity
533292,A2ZINFRA,A2Z INFRA ENGINEERING LTD,Active,B ,10,INE619I01012,Utilities:Non-Elec,Equity
531611,AADHAARVEN,AADHAAR VENTURES INDIA LTD,Suspended,XT,10,INE063D01030,Finance (including NBFCs),Equity
530027,AADIIND,AADI INDUSTRIES LTD,Suspended,Z ,10,INE563D01013,Fibres & Plastics,Equity
531866,AAGAMCAP,AAGAM CAPITAL LTD,Suspended,X ,10,INE817D01013,Investment Companies,Equity
522201,AAKARENG,AAKAR ENGINEERING & MANUFACTURING COMPANY LTD,Delisted,XD,10,INE814B01014,IT Software Products,Equity
539096,AANANDALAK,AANANDA LAKSHMI SPINNING MILLS LTD,Suspended,XT,10,INE197R01010,Textiles,Equity
538812,AANCHALISP,AANCHAL ISPAT LTD,Active,T ,10,INE322R01014,Iron & Steel/IntermProducts,Equity
523511,AANKITG,AANKIT GRANITES LTD,Delisted,P ,10,NA          ,Construction Materials,Equity
539632,AARCOM,AAR COMMERCIAL COMPANY LTD,Active,XT,10,INE184K01013,Distributors,Equity
542377,AARSHYAM,AAR SHYAM INDIA INVESTMENT COMPANY LTD,Active,XT,10,INE512R01010,Finance (including NBFCs),Equity
524412,AREYDRG,AAREY DRUGS & PHARMACEUTICALS LTD,Active,X ,10,INE198H01019,Pharmaceuticals,Equity
539562,AARNAV,AARNAV FASHIONS LTD,Active,X ,10,INE750R01016,Other Financial Services,Equity
542580,AARTECH,AARTECH SOLONICS LTD,Active,M ,10,INE01C001018,Heavy Electrical Equipment,Equity
524348,AARTIDRUGS,AARTI DRUGS LTD,Active,B ,10,INE767A01016,Pharmaceuticals,Equity
524208,AARTIIND,AARTI INDUSTRIES LTD,Active,A ,5,INE769A01020,Specialty Chemicals,Equity
543210,AARTISURF,AARTI SURFACTANTS LTD,Active,T ,10,INE09EO01013,Specialty Chemicals,Equity
526488,AARVINFRA,AARV INFRATEL LTD,Active,P ,10,INE432N01010,Textiles,Equity
514274,AARVEEDEN,AARVEE DENIMS & EXPORTS LTD,Active,B ,10,INE273D01019,Textiles,Equity
531731,AARYAGLOBL,AARYA GLOBAL SHARES AND SECURITIES LTD,Delisted,Z ,10,INE233H01030,Textiles,Equity
531514,AASHEESH,AASHEESH SECURITIES LTD,Delisted,X ,10,INE174C01011,Finance (including NBFCs),Equity
512038,ASWTR,AASWA TRADING & EXPORTS LTD,Active,P ,10,INE887D01016,CommTrading  & Distribution,Equity
541988,AAVAS,AAVAS FINANCIERS LTD,Active,A ,10,INE216P01012,Housing Finance ,Equity
